City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Elat,29.5581,34.9482,62.44,59,0,6.91,IL,2021-12-02 00:52:16
166,Korla,41.7597,86.1469,21.63,73,1,2.42,CN,2021-12-02 00:55:11
167,Bartica,6.4,-58.6167,75.52,99,100,2.26,GY,2021-12-02 00:55:12
168,Alta Floresta,-9.8756,-56.0861,71.49,98,100,2.51,BR,2021-12-02 00:55:13
169,Castro,-24.7911,-50.0119,62.82,96,32,8.46,BR,2021-12-02 00:55:14
170,Lakes Entrance,-37.8811,147.981,89.17,46,0,9.22,AU,2021-12-02 00:55:15
171,Beisfjord,68.3751,17.5988,31.24,83,100,15.3,NO,2021-12-02 00:55:16
172,Nikolskoye,59.7035,30.7861,21.09,98,95,3.29,RU,2021-12-02 00:55:17
173,Henties Bay,-22.116,14.2845,58.86,94,2,6.51,NA,2021-12-02 00:55:18
174,Hobyo,5.3505,48.5268,78.69,67,100,14.85,SO,2021-12-02 00:55:19
175,Goderich,43.7501,-81.7165,38.91,75,100,12.66,CA,2021-12-02 00:55:20
176,Isiro,2.7739,27.616,65.89,99,100,0.72,CD,2021-12-02 00:55:20
177,Merrill,45.1805,-89.6835,41.59,96,1,8.05,US,2021-12-02 00:55:21
178,Taldan,53.6667,124.8,3.65,85,100,4.0,RU,2021-12-02 00:55:22
179,Agde,43.3108,3.4758,48.45,87,75,5.99,FR,2021-12-02 00:55:22
180,Karla,59.3723,24.9275,17.06,92,20,2.3,EE,2021-12-02 00:55:23
181,Samarai,-10.6167,150.6667,86.16,72,100,12.21,PG,2021-12-02 00:55:24
182,Chokurdakh,70.6333,147.9167,-32.98,100,99,7.23,RU,2021-12-02 00:51:17
183,Babstovo,48.1167,132.4833,7.77,80,100,5.86,RU,2021-12-02 00:55:25
184,Okha,53.5739,142.9478,23.5,89,100,52.37,RU,2021-12-02 00:55:26
185,Kholodnyy,62.7167,147.95,-25.38,94,100,6.2,RU,2021-12-02 00:55:27
186,Ishinomaki,38.4167,141.3,41.09,68,10,23.06,JP,2021-12-02 00:55:28
187,Ribeira Grande,38.5167,-28.7,64.26,81,9,7.07,PT,2021-12-02 00:55:28
188,Talcahuano,-36.7167,-73.1167,58.68,72,0,11.5,CL,2021-12-02 00:55:29
189,Nanortalik,60.1432,-45.2371,33.37,95,100,24.99,GL,2021-12-02 00:51:31
190,Antofagasta,-23.65,-70.4,61.88,80,62,5.7,CL,2021-12-02 00:55:30
191,Dumfries,38.5676,-77.328,53.53,64,1,0.0,US,2021-12-02 00:55:30
192,Touros,-5.1989,-35.4608,81.5,74,37,10.96,BR,2021-12-02 00:53:04
