City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
128,Aqtobe,KZ,2021-12-03 20:27:12,50.2797,57.2072,33.89,86,90,13.42,overcast clouds
129,Sergeyevka,KZ,2021-12-03 20:27:12,53.88,67.4158,26.58,92,95,17.05,overcast clouds
130,Saint-Joseph,RE,2021-12-03 20:27:12,-21.3667,55.6167,77.36,84,9,8.7,clear sky
131,Vangaindrano,MG,2021-12-03 20:27:13,-23.35,47.6,73.36,90,28,5.64,scattered clouds
132,Yar-Sale,RU,2021-12-03 20:27:13,66.8333,70.8333,-10.98,92,100,10.94,overcast clouds
133,Solnechnyy,RU,2021-12-03 20:27:14,50.7214,136.6319,-6.16,99,52,1.97,broken clouds
134,Joshimath,IN,2021-12-03 20:27:14,30.5667,79.5667,43.81,55,0,9.33,clear sky
135,Astana,KZ,2021-12-03 20:27:15,51.1801,71.446,22.95,86,90,20.13,overcast clouds
136,Inhambane,MZ,2021-12-03 20:27:15,-23.865,35.3833,76.3,95,14,8.61,few clouds
137,Bitung,ID,2021-12-03 20:27:15,1.4451,125.1824,76.05,85,100,8.01,heavy intensity rain
138,Kanigoro,ID,2021-12-03 20:27:16,-8.13,112.219,73.51,96,38,1.9,light rain
139,Norman Wells,CA,2021-12-03 20:27:16,65.282,-126.8329,-36.36,61,20,2.3,few clouds
140,Port Lincoln,AU,2021-12-03 20:27:16,-34.7333,135.8667,54.93,76,4,11.03,clear sky
141,Huarmey,PE,2021-12-03 20:27:17,-10.0681,-78.1522,72.46,73,20,12.37,few clouds
142,Sur,OM,2021-12-03 20:27:17,22.5667,59.5289,73.42,58,0,6.67,clear sky
143,Tura,IN,2021-12-03 20:27:17,25.5198,90.2201,63.23,85,93,2.35,overcast clouds
144,Port Moresby,PG,2021-12-03 20:25:16,-9.4431,147.1797,76.42,94,40,4.61,scattered clouds
145,Buala,SB,2021-12-03 20:27:18,-8.145,159.5921,80.06,82,100,3.85,overcast clouds
146,Fortuna,US,2021-12-03 20:27:18,40.5982,-124.1573,50.92,93,75,0.0,broken clouds
147,Ilulissat,GL,2021-12-03 20:27:19,69.2167,-51.1,15.82,62,20,33.38,few clouds
148,Barrow,US,2021-12-03 20:27:19,71.2906,-156.7887,-16.58,69,1,21.85,haze
149,Acapulco,MX,2021-12-03 20:27:20,16.8634,-99.8901,85.82,66,40,9.22,scattered clouds
150,Airai,TL,2021-12-03 20:27:20,-8.9266,125.4092,61.5,87,83,2.37,broken clouds
151,Loa Janan,ID,2021-12-03 20:27:20,-0.583,117.095,74.5,97,100,1.63,overcast clouds
152,Bathsheba,BB,2021-12-03 20:27:21,13.2167,-59.5167,83.01,69,20,17.27,few clouds
153,Evensk,RU,2021-12-03 20:27:21,61.95,159.2333,-18.11,74,5,9.04,clear sky
154,Bhit Shah,PK,2021-12-03 20:27:22,25.8044,68.4927,59.05,20,0,6.04,clear sky
155,Bo Rai,TH,2021-12-03 20:27:22,12.5728,102.5371,65.77,79,100,6.76,overcast clouds
156,Vestmannaeyjar,IS,2021-12-03 20:27:22,63.4427,-20.2734,37.44,69,94,2.89,overcast clouds
157,Salalah,OM,2021-12-03 20:27:23,17.0151,54.0924,75.29,64,0,2.3,clear sky
158,Port Elizabeth,ZA,2021-12-03 20:27:23,-33.918,25.5701,61.09,82,0,2.3,clear sky
159,Leningradskiy,RU,2021-12-03 20:27:23,69.3833,178.4167,10.78,84,3,6.24,clear sky
160,Flin Flon,CA,2021-12-03 20:27:24,54.7682,-101.865,4.84,72,90,11.5,light snow
161,Abu Samrah,SY,2021-12-03 20:27:24,35.3029,37.1841,53.98,55,100,7.23,overcast clouds
162,Saldanha,ZA,2021-12-03 20:27:24,-33.0117,17.9442,62.65,79,53,25.61,broken clouds
163,Milkovo,RU,2021-12-03 20:27:25,54.7167,158.6167,20.95,92,48,1.63,scattered clouds
164,Synya,RU,2021-12-03 20:27:25,65.3718,58.0387,-0.31,96,100,6.51,overcast clouds
165,Atamanovka,RU,2021-12-03 20:27:25,51.93,113.63,18.03,96,49,2.8,scattered clouds
166,Lumberton,US,2021-12-03 20:27:26,34.6182,-79.0086,80.1,33,1,1.72,clear sky
167,Hasaki,JP,2021-12-03 20:27:26,35.7333,140.8333,34.2,61,0,6.89,clear sky
168,Niquelandia,BR,2021-12-03 20:27:27,-14.4739,-48.4597,79.56,82,98,0.94,moderate rain
169,Margate,GB,2021-12-03 20:27:27,51.3813,1.3862,46.89,90,100,4.72,overcast clouds
170,Nemuro,JP,2021-12-03 20:27:27,43.3236,145.575,41.59,81,19,18.75,few clouds
171,The Valley,AI,2021-12-03 20:27:28,18.217,-63.0578,84.06,74,40,10.36,scattered clouds
172,Chicama,PE,2021-12-03 20:27:28,-7.8447,-79.1469,66.74,61,71,11.16,broken clouds
173,Honiara,SB,2021-12-03 20:27:28,-9.4333,159.95,79.25,83,100,1.54,overcast clouds
174,Bethel,US,2021-12-03 20:25:33,41.3712,-73.414,45.55,50,1,1.01,clear sky
175,Nome,US,2021-12-03 20:27:29,64.5011,-165.4064,6.87,78,90,32.21,snow
176,Mbekenyera,TZ,2021-12-03 20:27:29,-10.0,38.9833,72.45,86,2,8.21,clear sky
177,Sola,VU,2021-12-03 20:27:30,-13.8833,167.55,81.73,74,79,16.04,broken clouds
178,Tefe,BR,2021-12-03 20:27:30,-3.3542,-64.7114,86.11,79,40,3.44,scattered clouds
